n,data_report,nome_file,URL
1,2021-10-06,report-20211006.pdf,https://www.regione.sicilia.it/sites/default/files/2021-10/Report%20Completo%2006%20Ottobre%202021.pdf
2,2021-10-13,report-20211013.pdf,https://www.regione.sicilia.it/sites/default/files/2021-10/Report%20Completo%2013%20Ottobre%202021.pdf
3,2021-10-20,report-20211020.pdf,https://www.regione.sicilia.it/sites/default/files/2021-10/Report%20Completo%2020%20Ottobre%202021.pdf
4,2021-10-27,report-20211027.pdf,https://www.regione.sicilia.it/sites/default/files/2021-10/Report%20Completo%2027%20Ottobre%202021.pdf
5,2021-11-03,report-20211104.pdf,https://www.regione.sicilia.it/sites/default/files/2021-11/Bollettino%20n%C3%82%C2%B0%205%20del%204%20novembre.pdf
6,2021-11-10,report-20211110.pdf,https://www.regione.sicilia.it/sites/default/files/2021-11/Bollettino%20settimanale%20n%C2%B06%20del%2010%20novembre%202021.pdf
7,2021-11-17,report-20211117.pdf,https://www.regione.sicilia.it/sites/default/files/2021-11/Bollettino%20Dasoe%207%20del%2017%20Novembre%202021.pdf
8,2021-11-24,report-20211124.pdf,https://www.regione.sicilia.it/sites/default/files/2021-11/Bollettino%20n.8%20del%2024%20novembre%202021.pdf
9,2021-12-01,report-20211201.pdf,https://www.regione.sicilia.it/sites/default/files/2021-12/Bollettino%20settimanale%201%20dicembre%20%282%29.pdf
10,2021-12-08,report-20211208.pdf,https://www.regione.sicilia.it/sites/default/files/2021-12/Bollettino%2008%20Dicembre%202021.pdf
11,2021-12-15,report-20211215.pdf,https://www.regione.sicilia.it/sites/default/files/2021-12/Bollettino%20Dasoe%20n.11%20del%2015%20Dicembre%202021.pdf
12,2021-12-22,report-20211222.pdf,https://www.regione.sicilia.it/sites/default/files/2021-12/Bollettino%20Dasoe%2012%20del%2022%20Dicembre%202021.pdf
13,2021-12-29,report-20211229.pdf,https://www.regione.sicilia.it/sites/default/files/2021-12/Bollettino%20Dasoe%2013%20del%2029%20dicembre%202021.pdf
14,2022-01-06,report-20220106.pdf,https://www.regione.sicilia.it/sites/default/files/2022-01/bollettino%2014%20finale.pdf
15,2022-01-12,report-20220112.pdf,https://www.regione.sicilia.it/sites/default/files/2022-01/Bollettino%2012%20gennaio%202022.pdf
16,2022-01-19,report-20220119.pdf,https://www.regione.sicilia.it/sites/default/files/2022-01/Bollettino%2016%20del%2019%20Gennaio%202022.pdf
17,2022-01-26,report-20220126.pdf,https://www.regione.sicilia.it/sites/default/files/2022-01/Bollettino%2017%20del%2026%20Gennaio%202022.pdf
18,2022-02-02,report-20220202.pdf,https://www.regione.sicilia.it/sites/default/files/2022-02/Bollettino%2018%20del%2002%20Febbraio%202022.pdf
19,2022-02-09,report-20220209.pdf,https://www.regione.sicilia.it/sites/default/files/2022-02/Bollettino%2019%20del%2009%20Febbraio%202022.pdf
20,2022-02-16,report-20220216.pdf,https://www.regione.sicilia.it/sites/default/files/2022-02/Bollettino%2020%20del%2016%20Febbraio%202022.pdf
21,2022-02-23,report-20220223.pdf,https://www.regione.sicilia.it/sites/default/files/2022-02/Bollettino%2021%20del%2023%20Febbraio%202022.pdf
23,2022-03-09,report-20220309.pdf,https://www.regione.sicilia.it/sites/default/files/2022-03/Bollettino%2023%20del%2009%20Marzo%202022.pdf
24,2022-03-16,report-20220316.pdf,https://www.regione.sicilia.it/sites/default/files/2022-03/Bollettino%2024%20del%2016%20Marzo%202022.pdf
25,2022-03-23,report-20220323.pdf,https://www.regione.sicilia.it/sites/default/files/2022-03/Bollettino%2025%20del%2023%20Marzo%202022.pdf
26,2022-03-30,report-20220330.pdf,https://www.regione.sicilia.it/sites/default/files/2022-03/Bollettino%2026%20del%2030%20Marzo%202022%20%281%29_1.pdf
27,2022-04-06,report-20220406.pdf,https://www.regione.sicilia.it/sites/default/files/2022-04/Bollettino%2027%20del%2006%20Aprile%202022.pdf
28,2022-04-13,report-20220413.pdf,https://www.regione.sicilia.it/sites/default/files/2022-04/Bollettino%2028%20del%2013%20Aprile%202022.pdf
29,2022-04-20,report-20220420.pdf,https://www.regione.sicilia.it/sites/default/files/2022-04/Bollettino%2029%20del%2020%20Aprile%202022.pdf
30,2022-04-27,report-20220427.pdf,https://www.regione.sicilia.it/sites/default/files/2022-04/Bollettino%2030%20del%2027%20Aprile%202022.pdf
31,2022-05-04,report-20220504.pdf,https://www.regione.sicilia.it/sites/default/files/2022-05/Bollettino%2031%20del%2004%20Maggio%202022.pdf
